route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
6,246018524601884,246018524601884+501455+0,Bridgeport,1997,1,,11,1,0
2,246018524601882,246018524601882+501625+1,North White Plains,309,0,,14,1,1
2,246018524601884,246018524601884+501625+1,North White Plains,309,0,,14,1,1
3,246021024602105,246021024602105+501670+0,Grand Central,3581,1,,5,1,0
2,246019324601965,246019324601965+501796+0,North White Plains,517,0,,14,0,0
2,246021024602105,246021024602105+501958+0,Grand Central,570,1,,3,1,0
2,246018524601884,246018524601884+501974+1,North White Plains,573,0,,14,1,1
2,246019324601952,246019324601952+501974+1,North White Plains,573,0,,14,1,1
2,246018124601825,246018124601825+501974+1,North White Plains,573,0,,14,1,1
2,246019324601954,246019324601954+501974+1,North White Plains,573,0,,14,1,1
2,246020724602094,246020724602094+501992+0,Grand Central,576,1,,3,1,0
2,246019324601942,246019324601942+501992+0,Grand Central,576,1,,3,1,0
2,246020724602092,246020724602092+501992+0,Grand Central,576,1,,3,1,0
2,246019924602234,246019924602234+502008+1,North White Plains,579,0,,14,1,1
2,246018524601881,246018524601881+502030+0,Grand Central,588,1,,3,1,0
2,246019924602242,246019924602242+502030+0,Grand Central,588,1,,3,1,0
2,246019924602243,246019924602243+502058+0,Grand Central,600,1,,3,1,0
2,246019324601964,246019324601964+502075+1,Grand Central,608,1,,3,1,1
2,246019624602245,246019624602245+502096+1,Grand Central,618,1,,3,1,1
2,246018524601884,246018524601884+502098+1,Grand Central,620,1,,3,1,1
3,246019124601917,246019124601917+502159+0,Grand Central,6323,1,,5,0,0
3,246019124601927,246019124601927+502193+0,Stamford,6336,0,,16,0,0
3,246019124601927,246019124601927+502231+0,Stamford,6350,0,,16,0,0
3,246018424601847,246018424601847+502233+0,Grand Central,6351,1,,5,1,0
3,246019124601927,246019124601927+502233+0,Grand Central,6351,1,,5,0,0
3,246019824602197,246019824602197+502233+0,Grand Central,6351,1,,5,1,0
2,246018524601881,246018524601881+502310+1,Mt Kisco,647,0,,14,1,1
2,246019924602241,246019924602241+502310+1,Mt Kisco,647,0,,14,1,1
2,246018524601881,246018524601881+502311+0,Grand Central,648,1,,3,1,0
2,246018924601895,246018924601895+502311+0,Grand Central,648,1,,3,0,0
2,246018524601883,246018524601883+502311+0,Grand Central,648,1,,3,1,0
2,246019324601964,246019324601964+502311+0,Grand Central,648,1,,3,1,0
2,246019924602241,246019924602241+502312+0,Grand Central,648,1,,3,1,0
3,246019824602197,246019824602197+502349+0,Grand Central,6513,1,,5,1,0
3,246019124601921,246019124601921+502349+0,Grand Central,6513,1,,5,0,0
5,246019724601976,246019724601976+502666+0,Danbury,6846,0,,21,1,0
5,246019724601976,246019724601976+502667+0,South Norwalk,6849,1,,10,1,0
2,246019624601965,246019624601965+502693+0,Grand Central,692,1,,3,1,0
2,246020024602245,246020024602245+502714+0,Southeast,695,0,,14,1,0
2,246020024602242,246020024602242+502714+0,Southeast,695,0,,14,1,0
1,246019324601963,246019324601963+502772+1,Grand Central,710,1,,1,1,1
1,246018924601895,246018924601895+502775+1,Croton-Harmon,711,0,,12,0,1
1,246017924601823,246017924601823+502775+1,Croton-Harmon,711,0,,12,1,1
1,246018524601881,246018524601881+502775+1,Croton-Harmon,711,0,,12,1,1
1,246018524601883,246018524601883+502775+1,Croton-Harmon,711,0,,12,1,1
1,246017924601802,246017924601802+502776+1,Yankees-E 153 St,7111,0,,13,1,1
1,246017924601813,246017924601813+502830+1,Grand Central,718,1,,1,1,1
1,246018524601881,246018524601881+502854+1,Grand Central,734,1,,1,1,1
1,246017924601813,246017924601813+502854+1,Grand Central,734,1,,1,1,1
1,246018924601895,246018924601895+502855+1,Grand Central,736,1,,1,0,1
1,246020724602092,246020724602092+502880+1,Croton-Harmon,749,0,,12,1,1
1,246019924602244,246019924602244+502897+1,Croton-Harmon,753,0,,12,1,1
1,246019924602243,246019924602243+502898+0,Grand Central,754,1,,1,1,0
1,246018524601883,246018524601883+502899+1,Croton-Harmon,755,0,,12,1,1
1,246018524601881,246018524601881+502924+0,Grand Central,762,1,,1,1,0
1,246019924602245,246019924602245+502924+0,Grand Central,762,1,,1,1,0
1,246017924601803,246017924601803+502945+1,Croton-Harmon,771,0,,12,1,1
1,246019924602032,246019924602032+502945+1,Croton-Harmon,771,0,,12,1,1
1,246018524601883,246018524601883+502945+1,Croton-Harmon,771,0,,12,1,1
1,246019524601954,246019524601954+502945+1,Croton-Harmon,771,0,,12,1,1
1,246021324602243,246021324602243+502945+1,Croton-Harmon,771,0,,12,1,1
1,246021024602105,246021024602105+502947+1,Croton-Harmon,771,0,,12,1,1
1,246019924602242,246019924602242+502971+1,Croton-Harmon,777,0,,12,1,1
1,246019324601964,246019324601964+502972+0,Grand Central,778,1,,1,1,0
1,246019924602243,246019924602243+502972+0,Grand Central,778,1,,1,1,0
1,246019324601965,246019324601965+502973+0,Grand Central,780,1,,1,1,0
1,246020724602102,246020724602102+502973+0,Grand Central,780,1,,1,1,0
1,246017924601822,246017924601822+502992+0,Croton-Harmon,783,0,,12,1,0
1,246017924601823,246017924601823+502992+0,Croton-Harmon,783,0,,12,1,0
1,246017924601812,246017924601812+503017+0,Croton-Harmon,795,0,,12,1,0
1,246021024602105,246021024602105+503017+0,Croton-Harmon,795,0,,12,1,0
1,246018924601895,246018924601895+503019+0,Croton-Harmon,795,0,,12,0,0
1,246017924601812,246017924601812+503038+1,Poughkeepsie,803,0,,12,1,1
1,246019924602232,246019924602232+503038+1,Poughkeepsie,803,0,,12,1,1
1,246017924601812,246017924601812+503039+1,Poughkeepsie,805,0,,12,1,1
1,246018524601881,246018524601881+503039+1,Poughkeepsie,805,0,,12,1,1
1,246019324601954,246019324601954+503039+1,Poughkeepsie,805,0,,12,1,1
1,246019924602232,246019924602232+503057+1,Grand Central,814,1,,1,1,1
5,246019324601965,246019324601965+501392+0,South Norwalk,1861,1,,10,1,0
5,246019324601964,246019324601964+501392+0,South Norwalk,1861,1,,10,1,0
5,246019924602241,246019924602241+501394+0,South Norwalk,1861,1,,10,1,0
5,246019924602244,246019924602244+501394+0,South Norwalk,1861,1,,10,1,0
5,246019324601962,246019324601962+501395+0,South Norwalk,1867,1,,10,1,0
5,246019324601964,246019324601964+501395+0,South Norwalk,1867,1,,10,1,0
6,246018924601895,246018924601895+501456+0,Bridgeport,1997,1,,11,0,0
6,246019324601962,246019324601962+501456+0,Bridgeport,1997,1,,11,1,0
6,246019924602244,246019924602244+501457+0,Bridgeport,1997,1,,11,1,0
2,246019924602243,246019924602243+501627+1,Grand Central,310,1,,3,1,1
2,246019924602244,246019924602244+501627+1,Grand Central,310,1,,3,1,1
2,246019924602242,246019924602242+501627+1,Grand Central,310,1,,3,1,1
2,246017924601813,246017924601813+501628+1,Grand Central,312,1,,3,1,1
2,246019624602245,246019624602245+501628+1,Grand Central,312,1,,3,1,1
2,246019324601954,246019324601954+501628+1,Grand Central,312,1,,3,1,1
2,246019324601964,246019324601964+501629+1,Grand Central,314,1,,3,1,1
2,246019924602241,246019924602241+501629+1,Grand Central,314,1,,3,1,1
2,246019324601962,246019324601962+501629+1,Grand Central,314,1,,3,1,1
2,246017924601822,246017924601822+501674+1,Crestwood,361,0,,14,1,1
2,246019924602032,246019924602032+501675+1,North White Plains,363,0,,14,1,1
2,246018524601882,246018524601882+501675+1,North White Plains,363,0,,14,1,1
2,246019324601943,246019324601943+501675+1,North White Plains,363,0,,14,1,1
2,246017924601823,246017924601823+501735+1,Southeast,4908,1,,3,1,1
2,246019924602241,246019924602241+501736+1,Southeast,4908,1,,3,1,1
2,246017924601822,246017924601822+501738+0,Wassaic,4961,0,,14,1,0
2,246019324601965,246019324601965+501738+0,Wassaic,4961,0,,14,1,0
2,246019924602243,246019924602243+501798+0,North White Plains,517,0,,14,0,0
2,246019324601963,246019324601963+501904+1,North White Plains,557,0,,14,0,1
2,246019924602242,246019924602242+501904+1,North White Plains,557,0,,14,0,1
2,246018524601883,246018524601883+501904+1,North White Plains,557,0,,14,0,1
2,246018524601882,246018524601882+501904+1,North White Plains,557,0,,14,0,1
2,246020324602035,246020324602035+501994+0,Grand Central,576,1,,3,1,0
2,246018524601882,246018524601882+502013+0,Grand Central,580,1,,3,1,0
2,246019324601962,246019324601962+502013+0,Grand Central,580,1,,3,1,0
2,246018924601895,246018924601895+502034+0,North White Plains,591,0,,14,0,0
2,246018524601884,246018524601884+502037+0,Grand Central,592,1,,3,1,0
2,246018524601882,246018524601882+502037+0,Grand Central,592,1,,3,1,0
2,246019924602245,246019924602245+502060+1,Southeast,601,0,,14,1,1
2,246017924601824,246017924601824+502077+1,Southeast,609,0,,14,1,1
2,246020724602093,246020724602093+502079+1,Southeast,609,0,,14,1,1
2,246018524601881,246018524601881+502100+0,Southeast,621,0,,14,1,0
2,246019924602023,246019924602023+502100+0,Southeast,621,0,,14,1,0
2,246017924601812,246017924601812+502100+0,Southeast,621,0,,14,1,0
2,246018524601882,246018524601882+502100+0,Southeast,621,0,,14,1,0
2,246020624602105,246020624602105+502100+0,Southeast,621,0,,14,1,0
2,246019924602024,246019924602024+502100+0,Southeast,621,0,,14,1,0
2,246019924602242,246019924602242+502101+1,Grand Central,622,1,,3,1,1
2,246019324601964,246019324601964+502101+1,Grand Central,622,1,,3,1,1
2,246019924602244,246019924602244+502101+1,Grand Central,622,1,,3,1,1
2,246017924601825,246017924601825+502101+1,Grand Central,622,1,,3,1,1
3,246019124601927,246019124601927+502126+0,Grand Central,6309,1,,5,0,0
3,246019124601921,246019124601921+502161+0,Stamford,6324,0,,16,0,0
3,246019824602197,246019824602197+502276+0,Grand Central,6369,1,,5,1,0
2,246019924602022,246019924602022+502313+1,Southeast,649,0,,14,1,1
2,246018524601881,246018524601881+502313+1,Southeast,649,0,,14,1,1
2,246021324602234,246021324602234+502313+1,Southeast,649,0,,14,1,1
2,246017924601802,246017924601802+502313+1,Southeast,649,0,,14,1,1
2,246018524601883,246018524601883+502342+1,Southeast,651,0,,14,1,1
2,246018524601881,246018524601881+502342+1,Southeast,651,0,,14,1,1
3,246019724601976,246019724601976+502364+0,Grand Central,6519,1,,5,1,0
2,246018524601881,246018524601881+502716+0,Grand Central,696,1,,3,1,0
1,246019924602242,246019924602242+502749+1,Grand Central,702,1,,1,1,1
1,246017924601822,246017924601822+502749+1,Grand Central,702,1,,1,1,1
1,246017924601825,246017924601825+502749+1,Grand Central,702,1,,1,1,1
1,246018224601825,246018224601825+502755+0,Croton-Harmon,703,0,,12,1,0
1,246017924601802,246017924601802+502779+1,Yankees-E 153 St,7113,0,,13,1,1
1,246020724602094,246020724602094+502781+1,Yankees-E 153 St,7115,0,,13,1,1
1,246017924601803,246017924601803+502785+0,Grand Central,7116,1,,2,1,0
1,246020724602094,246020724602094+502788+0,Grand Central,7118,1,,2,1,0
1,246019324601952,246019324601952+502833+1,Grand Central,720,1,,1,1,1
1,246018224601825,246018224601825+502833+1,Grand Central,720,1,,1,1,1
1,246019324601953,246019324601953+502833+1,Grand Central,720,1,,1,1,1
1,246017924601812,246017924601812+502833+1,Grand Central,720,1,,1,1,1
1,246018524601882,246018524601882+502882+1,Croton-Harmon,749,0,,12,1,1
1,246019924602241,246019924602241+502884+0,Grand Central,750,1,,1,1,0
1,246019324601965,246019324601965+502884+0,Grand Central,750,1,,1,1,0
1,246019924602241,246019924602241+502902+1,Croton-Harmon,755,0,,12,1,1
1,246019324601962,246019324601962+502903+1,Croton-Harmon,757,0,,12,1,1
1,246019924602242,246019924602242+502903+1,Croton-Harmon,757,0,,12,1,1
1,246019924602245,246019924602245+502903+1,Croton-Harmon,757,0,,12,1,1
2,246019824601987,246019824601987+502926+0,Southeast,7621,0,,15,1,0
1,246018924601895,246018924601895+502927+0,Grand Central,764,1,,1,0,0
1,246017924601802,246017924601802+502927+0,Grand Central,764,1,,1,1,0
1,246017924601803,246017924601803+502995+0,Croton-Harmon,785,0,,12,1,0
1,246019324601963,246019324601963+502995+0,Croton-Harmon,785,0,,12,1,0
1,246018724601873,246018724601873+502995+0,Croton-Harmon,785,0,,12,1,0
1,246019924602021,246019924602021+502996+0,Croton-Harmon,785,0,,12,1,0
1,246019924602024,246019924602024+502996+0,Croton-Harmon,785,0,,12,1,0
1,246018524601884,246018524601884+502997+0,Grand Central,786,1,,1,1,0
1,246019324601952,246019324601952+502997+0,Grand Central,786,1,,1,1,0
1,246019324601954,246019324601954+502997+0,Grand Central,786,1,,1,1,0
1,246018524601882,246018524601882+503022+0,Grand Central,796,1,,1,1,0
1,246018524601884,246018524601884+503022+0,Grand Central,796,1,,1,1,0
1,246018924601895,246018924601895+503040+1,Grand Central,806,1,,1,0,1
3,246021024602105,246021024602105+501271+0,New Haven,1586,0,,16,1,0
3,246019924602232,246019924602232+501272+0,New Haven,1586,0,,16,1,0
3,246017924601813,246017924601813+501297+0,Grand Central,1597,1,,5,1,0
5,246018524601883,246018524601883+501398+1,Danbury,1868,0,,21,1,1
5,246019324601963,246019324601963+501399+0,Danbury,1874,0,,21,1,0
5,246019324601965,246019324601965+501399+0,Danbury,1874,0,,21,1,0
2,246019924602033,246019924602033+501630+1,Grand Central,316,1,,3,1,1
2,246019924602034,246019924602034+501630+1,Grand Central,316,1,,3,1,1
2,246020724602092,246020724602092+501630+1,Grand Central,316,1,,3,1,1
2,246019324601954,246019324601954+501630+1,Grand Central,316,1,,3,1,1
2,246021324602242,246021324602242+501630+1,Grand Central,316,1,,3,1,1
2,246019324601962,246019324601962+501632+1,Grand Central,324,1,,3,1,1
2,246017924601822,246017924601822+501632+1,Grand Central,324,1,,3,1,1
2,246019924602243,246019924602243+501632+1,Grand Central,324,1,,3,1,1
2,246018924601895,246018924601895+501634+1,Grand Central,326,1,,3,0,1
2,246019324601962,246019324601962+501634+1,Grand Central,326,1,,3,1,1
2,246021424602162,246021424602162+501679+1,Crestwood,365,0,,14,1,1
2,246018524601873,246018524601873+501679+1,Crestwood,365,0,,14,1,1
2,246018124601825,246018124601825+501679+1,Crestwood,365,0,,14,1,1
2,246019324601943,246019324601943+501680+1,Crestwood,365,0,,14,1,1
2,246019924602231,246019924602231+501860+0,North White Plains,537,0,,14,1,0
2,246018924601895,246018924601895+501963+0,Grand Central,572,1,,3,0,0
2,246017924601822,246017924601822+501963+0,Grand Central,572,1,,3,1,0
2,246020724602093,246020724602093+501980+0,Grand Central,574,1,,3,1,0
2,246020724602094,246020724602094+501980+0,Grand Central,574,1,,3,1,0
2,246019524601954,246019524601954+501981+0,Grand Central,574,1,,3,1,0
2,246019624601965,246019624601965+501982+0,Grand Central,574,1,,3,1,0
2,246017924601824,246017924601824+502014+1,North White Plains,581,0,,14,1,1
2,246017924601822,246017924601822+502014+1,North White Plains,581,0,,14,1,1
2,246017924601825,246017924601825+502014+1,North White Plains,581,0,,14,1,1
2,246018524601883,246018524601883+502014+1,North White Plains,581,0,,14,1,1
2,246022424602245,246022424602245+502017+0,North White Plains,583,0,,14,1,0
2,246019624602245,246019624602245+502038+0,Grand Central,592,1,,3,1,0
2,246018524601883,246018524601883+502039+0,North White Plains,595,0,,14,1,0
2,246020724602093,246020724602093+502039+0,North White Plains,595,0,,14,1,0
2,246018524601884,246018524601884+502061+0,Grand Central,602,1,,3,1,0
2,246017924601823,246017924601823+502063+1,Southeast,603,0,,14,1,1
2,246018524601883,246018524601883+502063+1,Southeast,603,0,,14,1,1
2,246018524601882,246018524601882+502063+1,Southeast,603,0,,14,1,1
2,246019924602244,246019924602244+502063+1,Southeast,603,0,,14,1,1
2,246019924602242,246019924602242+502081+1,Grand Central,610,1,,3,1,1
2,246018924601895,246018924601895+502081+1,Grand Central,610,1,,3,0,1
2,246018524601882,246018524601882+502102+1,Grand Central,624,1,,3,1,1
2,246018924601895,246018924601895+502102+1,Grand Central,624,1,,3,0,1
2,246019324601965,246019324601965+502102+1,Grand Central,624,1,,3,1,1
3,246018324602256,246018324602256+502132+0,Grand Central,6311,1,,5,1,0
3,246018324601836,246018324601836+502163+0,Grand Central,6325,1,,5,1,0
2,246017924601824,246017924601824+502201+1,Grand Central,634,1,,3,1,1
2,246019324601964,246019324601964+502201+1,Grand Central,634,1,,3,1,1
2,246017924601822,246017924601822+502201+1,Grand Central,634,1,,3,1,1
3,246018424601847,246018424601847+502237+0,Grand Central,6353,1,,5,1,0
3,246019824602257,246019824602257+502359+0,Grand Central,6517,1,,5,1,0
3,246019824602257,246019824602257+502366+0,Grand Central,6519,1,,5,1,0
2,246019324601965,246019324601965+502367+0,Grand Central,652,1,,3,1,0
3,246019124601921,246019124601921+502376+0,New Haven,6522,0,,16,0,0
1,246018524601882,246018524601882+502792+1,Grand Central,712,1,,1,1,1
1,246019924602245,246019924602245+502792+1,Grand Central,712,1,,1,1,1
1,246018924601895,246018924601895+502792+1,Grand Central,712,1,,1,0,1
1,246019324601963,246019324601963+502792+1,Grand Central,712,1,,1,1,1
1,246019924602242,246019924602242+502792+1,Grand Central,712,1,,1,1,1
1,246019324601943,246019324601943+502793+0,Grand Central,7120,1,,2,1,0
1,246021024602105,246021024602105+502794+0,Grand Central,7120,1,,2,1,0
1,246020724602104,246020724602104+502795+0,Grand Central,7122,1,,2,1,0
1,246019324601953,246019324601953+502799+1,Croton-Harmon,713,0,,12,1,1
1,246019924602243,246019924602243+502836+0,Croton-Harmon,721,0,,12,1,0
1,246018524601884,246018524601884+502837+1,Grand Central,724,1,,1,1,1
1,246018524601881,246018524601881+502838+0,Croton-Harmon,725,0,,12,1,0
1,246017924601825,246017924601825+502859+0,Croton-Harmon,737,0,,12,1,0
1,246018924601895,246018924601895+502859+0,Croton-Harmon,737,0,,12,0,0
1,246019924602243,246019924602243+502861+0,Croton-Harmon,737,0,,12,1,0
1,246019924602241,246019924602241+502861+0,Croton-Harmon,737,0,,12,1,0
3,246017924601803,246017924601803+502885+0,Yankees-E 153 St,7501,1,,6,1,0
1,246019924602243,246019924602243+502904+0,Grand Central,758,1,,1,1,0
1,246018524601881,246018524601881+502904+0,Grand Central,758,1,,1,1,0
1,246019324601965,246019324601965+502904+0,Grand Central,758,1,,1,1,0
1,246019924602241,246019924602241+502904+0,Grand Central,758,1,,1,1,0
1,246018524601883,246018524601883+502904+0,Grand Central,758,1,,1,1,0
1,246017924601825,246017924601825+502929+1,Croton-Harmon,765,0,,12,1,1
1,246018524601882,246018524601882+502929+1,Croton-Harmon,765,0,,12,1,1
1,246019324601962,246019324601962+502930+1,Croton-Harmon,765,0,,12,1,1
1,246019324601963,246019324601963+502930+1,Croton-Harmon,765,0,,12,1,1
1,246019924602242,246019924602242+502931+1,Croton-Harmon,765,0,,12,1,1
1,246020724602102,246020724602102+502952+0,Croton-Harmon,7713,0,,13,1,0
1,246020724602104,246020724602104+502952+0,Croton-Harmon,7713,0,,13,1,0
1,246017924601802,246017924601802+502952+0,Croton-Harmon,7713,0,,13,1,0
1,246021124602116,246021124602116+502954+0,Grand Central,7722,1,,2,1,0
1,246020324602035,246020324602035+502978+1,Croton-Harmon,781,0,,12,1,1
1,246018524601884,246018524601884+502978+1,Croton-Harmon,781,0,,12,1,1
1,246018224601825,246018224601825+502998+0,Grand Central,786,1,,1,1,0
1,246017924601824,246017924601824+503000+0,Croton-Harmon,787,0,,12,1,0
1,246018524601883,246018524601883+503000+0,Croton-Harmon,787,0,,12,1,0
1,246017924601822,246017924601822+503023+0,Croton-Harmon,797,0,,12,1,0
1,246019324602244,246019324602244+503026+0,Croton-Harmon,797,0,,12,1,0
1,246018924601895,246018924601895+503076+1,Grand Central,832,1,,1,0,1
1,246018524601881,246018524601881+503076+1,Grand Central,832,1,,1,1,1
1,246019924602232,246019924602232+503076+1,Grand Central,832,1,,1,1,1
1,246019924602231,246019924602231+503077+0,Poughkeepsie,833,0,,12,1,0
1,246018524601884,246018524601884+503109+1,Poughkeepsie,843,0,,12,1,1
1,246018524601883,246018524601883+503109+1,Poughkeepsie,843,0,,12,1,1
1,246019324601954,246019324601954+503109+1,Poughkeepsie,843,0,,12,1,1
5,246017924601823,246017924601823+501402+0,South Norwalk,1881,1,,10,1,0
5,246018524601884,246018524601884+501403+0,South Norwalk,1881,1,,10,1,0
2,246019924602242,246019924602242+501635+1,Grand Central,328,1,,3,1,1
2,246019324601963,246019324601963+501635+1,Grand Central,328,1,,3,1,1
2,246017924601822,246017924601822+501635+1,Grand Central,328,1,,3,1,1
2,246017924601823,246017924601823+501636+1,Grand Central,330,1,,3,1,1
2,246017924601825,246017924601825+501636+1,Grand Central,330,1,,3,1,1
2,246019924602241,246019924602241+501636+1,Grand Central,330,1,,3,1,1
2,246019324601964,246019324601964+501637+1,Grand Central,332,1,,3,1,1
2,246017924601812,246017924601812+501637+1,Grand Central,332,1,,3,1,1
2,246019324601962,246019324601962+501637+1,Grand Central,332,1,,3,1,1
2,246022424602245,246022424602245+501637+1,Grand Central,332,1,,3,1,1
2,246018524601883,246018524601883+501638+0,Grand Central,334,1,,3,1,0
2,246018524601883,246018524601883+501681+0,Grand Central,366,1,,3,1,0
2,246019924602243,246019924602243+501681+0,Grand Central,366,1,,3,1,0
2,246017924601824,246017924601824+501748+0,North White Plains,501,0,,14,1,0
2,246018524601883,246018524601883+501748+0,North White Plains,501,0,,14,1,0
2,246019924602245,246019924602245+501749+0,North White Plains,501,0,,14,1,0
2,246018524601884,246018524601884+501751+1,Grand Central,502,1,,3,1,1
2,246019924602241,246019924602241+501751+1,Grand Central,502,1,,3,1,1
2,246019924602241,246019924602241+501806+1,Grand Central,518,1,,3,1,1
2,246019924602243,246019924602243+501808+0,North White Plains,519,0,,14,1,0
2,246019324601962,246019324601962+501862+0,Grand Central,538,1,,3,1,0
2,246018924601895,246018924601895+502000+0,Grand Central,578,1,,3,0,0
2,246019924602021,246019924602021+502001+0,Grand Central,578,1,,3,1,0
2,246019924602022,246019924602022+502001+0,Grand Central,578,1,,3,1,0
2,246019924602232,246019924602232+502019+0,North White Plains,583,0,,14,1,0
2,246019924602234,246019924602234+502019+0,North White Plains,583,0,,14,1,0
2,246019324601962,246019324601962+502020+0,Grand Central,584,1,,3,1,0
2,246019924602244,246019924602244+502020+0,Grand Central,584,1,,3,1,0
2,246017924601802,246017924601802+502064+1,Grand Central,604,1,,3,1,1
2,246017924601825,246017924601825+502082+1,Southeast,611,0,,14,1,1
2,246019924602244,246019924602244+502082+1,Southeast,611,0,,14,1,1
2,246018524601883,246018524601883+502083+1,Southeast,613,0,,14,1,1
2,246019324601964,246019324601964+502083+1,Southeast,613,0,,14,1,1
2,246019924602243,246019924602243+502083+1,Southeast,613,0,,14,1,1
2,246018524601882,246018524601882+502104+0,Southeast,625,0,,14,1,0
2,246019924602241,246019924602241+502105+0,Southeast,625,0,,14,1,0
2,246018524601883,246018524601883+502106+1,Grand Central,626,1,,3,1,1
2,246019324601962,246019324601962+502106+1,Grand Central,626,1,,3,1,1
2,246019924602242,246019924602242+502106+1,Grand Central,626,1,,3,1,1
2,246017924601824,246017924601824+502106+1,Grand Central,626,1,,3,1,1
3,246019124601927,246019124601927+502166+0,Stamford,6326,0,,16,0,0
2,246019924602242,246019924602242+502202+1,Grand Central,634,1,,3,1,1
3,246019124601927,246019124601927+502378+0,Grand Central,6523,1,,5,0,0
3,246018424601847,246018424601847+502397+0,New Haven,6528,0,,16,1,0
1,246017924601824,246017924601824+502862+1,Grand Central,738,1,,1,1,1
1,246017924601825,246017924601825+502862+1,Grand Central,738,1,,1,1,1
1,246019924602242,246019924602242+502862+1,Grand Central,738,1,,1,1,1
1,246019324601963,246019324601963+502862+1,Grand Central,738,1,,1,1,1
1,246019324601964,246019324601964+502862+1,Grand Central,738,1,,1,1,1
1,246019324601962,246019324601962+502932+0,Grand Central,766,1,,1,1,0
1,246019924602243,246019924602243+502932+0,Grand Central,766,1,,1,1,0
1,246017924601825,246017924601825+502932+0,Grand Central,766,1,,1,1,0
1,246018524601883,246018524601883+502932+0,Grand Central,766,1,,1,1,0
1,246019324601942,246019324601942+502933+1,Croton-Harmon,767,0,,12,1,1
1,246018924601895,246018924601895+502934+1,Croton-Harmon,767,0,,12,0,1
1,246020624602061,246020624602061+502981+1,Croton-Harmon,781,0,,12,1,1
1,246021324602231,246021324602231+502983+1,Croton-Harmon,781,0,,12,1,1
1,246019924602241,246019924602241+503002+0,Croton-Harmon,787,0,,12,1,0
1,246019924602031,246019924602031+503028+0,Grand Central,798,1,,1,1,0
1,246017924601825,246017924601825+503028+0,Grand Central,798,1,,1,1,0
1,246019324601953,246019324601953+503045+1,Poughkeepsie,807,0,,12,1,1
1,246019924602232,246019924602232+503045+1,Poughkeepsie,807,0,,12,1,1
1,246018524601881,246018524601881+503045+1,Poughkeepsie,807,0,,12,1,1
1,246019324601954,246019324601954+503045+1,Poughkeepsie,807,0,,12,1,1
1,246018524601884,246018524601884+503046+1,Poughkeepsie,809,0,,12,1,1
1,246019324601954,246019324601954+503046+1,Poughkeepsie,809,0,,12,1,1
1,246019324601954,246019324601954+503063+0,Poughkeepsie,817,0,,12,1,0
1,246018924601895,246018924601895+503063+0,Poughkeepsie,817,0,,12,0,0
1,246019924602233,246019924602233+503063+0,Poughkeepsie,817,0,,12,1,0
1,246019924602234,246019924602234+503063+0,Poughkeepsie,817,0,,12,1,0
1,246019324601954,246019324601954+503064+1,Grand Central,818,1,,1,1,1
1,246017924601812,246017924601812+503064+1,Grand Central,818,1,,1,1,1
1,246019924602231,246019924602231+503064+1,Grand Central,818,1,,1,1,1
1,246019924602234,246019924602234+503064+1,Grand Central,818,1,,1,1,1
1,246018924601895,246018924601895+503079+1,Grand Central,834,1,,1,0,1
1,246018224601825,246018224601825+503142+1,Poughkeepsie,855,0,,12,1,1
1,246019924602233,246019924602233+503142+1,Poughkeepsie,855,0,,12,1,1
1,246018524601884,246018524601884+503142+1,Poughkeepsie,855,0,,12,1,1
3,246018624601884,246018624601884+501301+0,New Haven,1598,0,,16,1,0
3,246017924601803,246017924601803+501301+0,New Haven,1598,0,,16,1,0
5,246018524601884,246018524601884+501405+0,Danbury,1882,0,,21,1,0
2,246018524601882,246018524601882+501639+0,North White Plains,343,0,,14,1,0
2,246021324602233,246021324602233+501686+1,Mt Vernon West,367,0,,14,1,1
2,246018924601895,246018924601895+501688+0,Grand Central,368,1,,3,0,0
2,246019624602245,246019624602245+501688+0,Grand Central,368,1,,3,1,0
2,246020724602094,246020724602094+501689+0,Grand Central,370,1,,3,1,0
2,246019324601962,246019324601962+501755+1,North White Plains,503,0,,14,1,1
2,246017924601822,246017924601822+501755+1,North White Plains,503,0,,14,1,1
2,246019324601965,246019324601965+501810+1,Grand Central,520,1,,3,1,1
2,246019924602243,246019924602243+501812+0,North White Plains,521,0,,14,1,0
2,246018524601883,246018524601883+501866+0,Grand Central,540,1,,3,1,0
2,246018524601881,246018524601881+501866+0,Grand Central,540,1,,3,1,0
2,246019324601963,246019324601963+501866+0,Grand Central,540,1,,3,1,0
2,246018524601883,246018524601883+502023+0,North White Plains,585,0,,14,1,0
2,246018624601884,246018624601884+502047+0,North White Plains,597,0,,14,1,0
2,246018624601883,246018624601883+502047+0,North White Plains,597,0,,14,1,0
2,246018924601895,246018924601895+502047+0,North White Plains,597,0,,14,1,0
2,246018624601882,246018624601882+502047+0,North White Plains,597,0,,14,1,0
2,246019924602021,246019924602021+502066+1,Grand Central,604,1,,3,1,1
2,246018924601895,246018924601895+502084+1,Grand Central,614,1,,3,0,1
2,246017924601823,246017924601823+502107+1,Grand Central,628,1,,3,1,1
2,246019924602242,246019924602242+502107+1,Grand Central,628,1,,3,1,1
2,246018524601881,246018524601881+502108+0,Southeast,629,0,,14,1,0
2,246019924602024,246019924602024+502108+0,Southeast,629,0,,14,1,0
2,246021324602234,246021324602234+502108+0,Southeast,629,0,,14,1,0
